total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
137,1,1,0,0,1,1.0,0,0.0,6,12.0,4,7.0
138,1,1,0,0,0,1.0,0,0.0,6,13.0,4,8.0
139,1,1,0,0,1,0.0,1,0.0,6,14.0,5,9.0
140,1,1,0,0,1,1.0,1,1.0,6,15.0,5,8.2
141,1,1,0,0,0,1.0,1,1.0,6,16.0,5,9.2
142,1,1,0,0,0,0.0,1,1.0,6,17.0,5,10.2
143,1,1,0,0,1,0.0,0,1.0,6,18.0,5,11.2
144,0,0,1,1,0,1.0,0,0.0,6,19.0,5,12.2
145,0,0,1,1,0,0.0,1,0.0,5,20.0,4,13.2
146,0,0,1,1,0,0.0,1,1.0,4,18.4,3,11.0
147,0,0,1,1,1,0.0,2,2.0,3,17.5,2,11.0
148,0,0,1,1,1,1.0,2,2.0,2,17.333333333333332,2,11.0
149,0,0,1,1,1,2.0,2,3.0,1,17.5,2,5.5
150,0,0,1,1,1,3.0,3,4.0,0,18.0,1,1.5
151,0,0,1,1,1,4.0,4,3.6666666666666665,0,0.0,0,2.0
152,0,0,1,1,2,5.0,4,3.75,0,0.0,0,0.0
153,0,0,1,1,3,3.5,4,4.75,0,0.0,0,0.0
154,0,0,1,1,4,3.3333333333333335,5,5.75,0,0.0,1,0.0
155,0,0,1,1,4,3.5,5,5.6,0,0.0,0,1.0
156,0,0,1,1,5,4.5,5,6.6,0,0.0,1,0.0
157,1,1,0,0,6,4.6,5,7.6,0,0.0,0,1.0
158,1,1,0,0,6,4.833333333333333,5,8.6,0,0.0,0,0.0
159,1,1,0,0,5,4.0,4,7.0,1,0.0,0,0.0
160,1,1,0,0,4,4.4,3,6.75,1,1.0,0,0.0
161,1,1,0,0,3,4.75,2,6.666666666666667,1,2.0,0,0.0
162,1,1,0,0,3,5.0,2,6.0,1,3.0,0,0.0
163,1,1,0,0,2,4.0,2,3.0,1,4.0,0,0.0
164,1,1,0,0,1,4.0,1,1.5,1,5.0,0,0.0
165,1,1,0,0,0,3.0,1,2.0,1,6.0,0,0.0
166,1,1,0,0,0,0.0,0,1.0,2,7.0,0,0.0
167,1,1,0,0,1,0.0,1,0.0,2,4.5,0,0.0
168,1,1,0,0,0,1.0,0,1.0,2,5.5,1,0.0
169,1,1,0,0,1,0.0,0,0.0,2,6.5,1,1.0
170,1,1,0,0,1,1.0,1,0.0,2,7.5,1,2.0
171,1,1,0,0,1,1.0,0,1.0,2,8.5,1,3.0
172,1,1,0,0,0,1.0,0,0.0,2,9.5,1,4.0
173,1,1,0,0,0,0.0,1,0.0,2,10.5,1,5.0
174,1,1,0,0,0,0.0,1,1.0,2,11.5,2,6.0
175,1,1,0,0,0,0.0,0,1.0,2,12.5,3,4.0
176,1,1,0,0,1,0.0,0,0.0,2,13.5,3,3.6666666666666665
177,1,1,0,0,0,1.0,0,0.0,3,14.5,3,4.666666666666667
178,1,1,0,0,1,0.0,0,0.0,3,10.666666666666666,3,5.666666666666667
179,1,1,0,0,0,1.0,0,0.0,3,11.666666666666666,3,6.666666666666667
180,1,1,0,0,0,0.0,1,0.0,3,12.666666666666666,3,7.666666666666667
181,1,1,0,0,1,0.0,0,1.0,3,13.666666666666666,3,8.666666666666666
182,1,1,0,0,1,1.0,1,0.0,4,14.666666666666666,3,9.666666666666666
183,1,1,0,0,0,1.0,1,1.0,4,12.0,3,10.666666666666666
184,1,1,0,0,0,0.0,0,1.0,4,13.0,3,11.666666666666666
185,1,1,0,0,0,0.0,0,0.0,5,14.0,3,12.666666666666666
186,1,1,0,0,1,0.0,0,0.0,5,12.2,3,13.666666666666666
187,1,1,0,0,1,1.0,0,0.0,6,13.2,3,14.666666666666666
188,1,1,0,0,0,1.0,0,0.0,6,12.0,3,15.666666666666666
189,1,1,0,0,0,0.0,0,0.0,6,13.0,3,16.666666666666668
190,1,1,0,0,0,0.0,0,0.0,6,14.0,3,17.666666666666668
191,1,1,0,0,0,0.0,0,0.0,6,15.0,3,18.666666666666668
192,1,1,0,0,0,0.0,0,0.0,6,16.0,3,19.666666666666668
193,1,1,0,0,0,0.0,0,0.0,7,17.0,3,20.666666666666668
194,0,0,1,1,0,0.0,0,0.0,7,15.571428571428571,4,21.666666666666668
195,0,0,1,1,1,0.0,0,0.0,6,16.571428571428573,3,17.25
196,0,0,1,1,1,1.0,0,0.0,5,14.333333333333334,2,15.0
197,0,0,1,1,1,2.0,0,0.0,4,12.2,1,12.5
198,0,0,1,1,1,3.0,1,0.0,3,11.25,0,4.0
199,0,0,1,1,1,4.0,2,1.0,3,10.666666666666666,0,0.0
200,0,0,1,1,2,5.0,3,1.5,2,7.0,0,0.0
201,0,0,1,1,3,3.5,4,2.0,1,5.0,0,0.0
202,0,0,1,1,3,3.3333333333333335,5,2.5,0,3.0,0,0.0
203,0,0,1,1,4,4.333333333333333,5,3.0,1,0.0,0,0.0
204,0,0,1,1,4,4.25,6,4.0,0,1.0,0,0.0
205,0,0,1,1,4,5.25,6,4.333333333333333,0,0.0,0,0.0
206,0,0,1,1,5,6.25,7,5.333333333333333,1,0.0,1,0.0
207,1,1,0,0,6,6.0,7,5.571428571428571,0,1.0,1,1.0
208,1,1,0,0,5,6.0,6,6.571428571428571,0,0.0,2,1.0
209,1,1,0,0,5,5.6,6,7.0,0,0.0,2,1.5
210,1,1,0,0,5,4.8,6,6.333333333333333,0,0.0,2,2.5
211,1,1,0,0,5,4.0,5,5.666666666666667,0,0.0,2,3.5
212,1,1,0,0,5,3.4,4,5.8,0,0.0,2,4.5
213,1,1,0,0,4,3.2,4,5.75,0,0.0,2,5.5
214,1,1,0,0,3,3.5,4,4.5,0,0.0,2,6.5
215,1,1,0,0,3,4.0,3,3.5,0,0.0,2,7.5
216,1,1,0,0,2,3.3333333333333335,3,3.6666666666666665,0,0.0,2,8.5
217,1,1,0,0,2,3.5,2,2.6666666666666665,0,0.0,2,9.5
218,1,1,0,0,2,2.0,2,3.0,0,0.0,2,10.5
219,1,1,0,0,1,1.5,1,2.0,0,0.0,3,11.5
220,1,1,0,0,1,2.0,1,2.0,0,0.0,3,8.666666666666666
221,1,1,0,0,1,1.0,0,1.0,1,0.0,4,9.666666666666666
222,1,1,0,0,0,1.0,1,0.0,1,1.0,4,8.25
223,1,1,0,0,1,0.0,1,1.0,1,2.0,4,9.25
224,1,1,0,0,0,1.0,1,1.0,1,3.0,4,10.25
225,1,1,0,0,0,0.0,1,1.0,1,4.0,4,11.25
226,1,1,0,0,1,0.0,0,1.0,1,5.0,4,12.25
227,1,1,0,0,0,1.0,1,0.0,1,6.0,4,13.25
228,1,1,0,0,0,0.0,1,1.0,1,7.0,5,14.25
229,1,1,0,0,1,0.0,1,1.0,1,8.0,5,12.4
230,1,1,0,0,1,1.0,1,1.0,1,9.0,5,13.4
231,1,1,0,0,1,1.0,0,1.0,1,10.0,6,14.4
232,1,1,0,0,0,1.0,1,0.0,1,11.0,6,13.0
233,1,1,0,0,1,0.0,1,1.0,1,12.0,6,14.0
234,1,1,0,0,1,1.0,0,1.0,2,13.0,6,15.0
235,1,1,0,0,1,1.0,1,0.0,2,7.5,6,16.0
236,1,1,0,0,1,1.0,1,1.0,2,8.5,6,17.0
237,1,1,0,0,1,1.0,0,1.0,2,9.5,6,18.0
238,1,1,0,0,1,1.0,1,0.0,2,10.5,6,19.0
239,1,1,0,0,0,1.0,0,1.0,2,11.5,6,20.0
240,1,1,0,0,1,0.0,0,0.0,3,12.5,7,21.0
241,1,1,0,0,1,1.0,0,0.0,3,9.333333333333334,7,19.0
242,0,0,1,1,0,1.0,0,0.0,3,10.333333333333334,8,20.0
243,0,0,1,1,1,0.0,0,0.0,2,11.333333333333334,7,18.5
244,0,0,1,1,2,1.0,0,0.0,1,7.0,6,17.0
245,0,0,1,1,3,1.5,1,0.0,0,5.0,6,14.833333333333334
246,0,0,1,1,3,2.0,2,1.0,1,0.0,5,11.5
247,0,0,1,1,3,3.0,3,1.5,0,1.0,4,9.8
248,0,0,1,1,3,4.0,3,2.0,1,0.0,3,8.5
249,0,0,1,1,4,5.0,4,3.0,0,1.0,2,6.666666666666667
250,0,0,1,1,5,4.75,5,3.25,0,0.0,1,6.5
251,1,1,0,0,5,4.8,6,3.6,0,0.0,0,6.0
252,1,1,0,0,4,5.8,5,4.0,1,0.0,0,0.0
253,1,1,0,0,4,6.0,4,4.4,1,1.0,0,0.0
254,1,1,0,0,3,4.75,3,4.75,1,2.0,0,0.0
255,1,1,0,0,3,4.333333333333333,3,5.0,2,3.0,0,0.0
256,1,1,0,0,3,3.3333333333333335,3,4.0,2,2.5,0,0.0
257,1,1,0,0,3,2.3333333333333335,2,3.0,2,3.5,0,0.0
258,1,1,0,0,3,2.0,1,2.5,3,4.5,0,0.0
259,1,1,0,0,3,2.0,0,3.0,3,4.0,1,0.0
260,1,1,0,0,2,2.0,0,0.0,3,5.0,1,1.0
261,1,1,0,0,2,2.5,1,0.0,3,6.0,1,2.0
262,1,1,0,0,1,2.0,0,1.0,3,7.0,1,3.0
263,1,1,0,0,0,2.0,0,0.0,3,8.0,1,4.0
264,1,1,0,0,0,0.0,1,0.0,3,9.0,1,5.0
265,1,1,0,0,0,0.0,1,1.0,3,10.0,1,6.0
266,1,1,0,0,0,0.0,0,1.0,3,11.0,1,7.0
267,1,1,0,0,1,0.0,0,0.0,3,12.0,1,8.0
268,1,1,0,0,0,1.0,1,0.0,4,13.0,1,9.0
269,1,1,0,0,0,0.0,1,1.0,4,10.75,1,10.0
270,1,1,0,0,0,0.0,1,1.0,4,11.75,1,11.0
271,1,1,0,0,0,0.0,0,1.0,4,12.75,1,12.0
272,1,1,0,0,1,0.0,0,0.0,4,13.75,1,13.0
273,1,1,0,0,0,1.0,0,0.0,4,14.75,1,14.0
274,1,1,0,0,0,0.0,1,0.0,5,15.75,1,15.0
275,1,1,0,0,0,0.0,1,1.0,6,13.6,1,16.0
276,1,1,0,0,1,0.0,1,1.0,6,12.333333333333334,1,17.0
277,1,1,0,0,1,1.0,1,1.0,6,13.333333333333334,1,18.0
278,1,1,0,0,1,1.0,1,1.0,6,14.333333333333334,2,19.0
279,1,1,0,0,1,1.0,1,1.0,6,15.333333333333334,2,10.5
280,1,1,0,0,1,1.0,0,1.0,7,16.333333333333332,3,11.5
281,0,0,1,1,0,1.0,0,0.0,7,15.0,4,8.666666666666666
282,0,0,1,1,0,0.0,0,0.0,6,16.0,3,7.5
283,0,0,1,1,0,0.0,0,0.0,5,14.666666666666666,2,3.3333333333333335
284,0,0,1,1,0,0.0,1,0.0,4,13.0,1,3.5
285,0,0,1,1,1,0.0,1,1.0,3,10.75,0,4.0
286,0,0,1,1,2,1.0,2,2.0,2,9.666666666666666,0,0.0
287,0,0,1,1,3,1.5,2,2.0,2,9.5,0,0.0
288,0,0,1,1,4,2.0,2,3.0,1,4.5,0,0.0
289,0,0,1,1,4,2.5,3,4.0,0,2.0,0,0.0
290,0,0,1,1,4,3.5,3,3.6666666666666665,0,0.0,0,0.0
291,0,0,1,1,4,4.5,4,4.666666666666667,0,0.0,0,0.0
292,0,0,1,1,5,5.5,5,4.5,0,0.0,0,0.0
293,1,1,0,0,5,5.4,6,4.6,0,0.0,0,0.0
294,1,1,0,0,5,6.4,5,4.833333333333333,0,0.0,0,0.0
295,1,1,0,0,5,5.6,4,4.8,0,0.0,0,0.0
296,1,1,0,0,4,4.8,3,4.75,0,0.0,1,0.0
297,1,1,0,0,3,4.75,2,5.0,0,0.0,1,1.0
298,1,1,0,0,2,4.333333333333333,1,5.5,0,0.0,1,2.0
299,1,1,0,0,2,4.5,0,6.0,0,0.0,1,3.0
300,1,1,0,0,2,3.0,0,0.0,0,0.0,1,4.0
301,1,1,0,0,1,1.5,0,0.0,0,0.0,2,5.0
302,1,1,0,0,0,2.0,0,0.0,0,0.0,2,3.5
303,1,1,0,0,1,0.0,1,0.0,1,0.0,2,4.5
304,1,1,0,0,1,1.0,1,1.0,1,1.0,2,5.5
305,1,1,0,0,1,1.0,1,1.0,1,2.0,2,6.5
306,1,1,0,0,0,1.0,0,1.0,1,3.0,2,7.5
307,1,1,0,0,1,0.0,1,0.0,1,4.0,3,8.5
308,1,1,0,0,1,1.0,0,1.0,1,5.0,3,6.666666666666667
309,1,1,0,0,0,1.0,0,0.0,1,6.0,3,7.666666666666667
310,1,1,0,0,1,0.0,1,0.0,1,7.0,3,8.666666666666666
311,1,1,0,0,0,1.0,0,1.0,2,8.0,3,9.666666666666666
312,1,1,0,0,1,0.0,0,0.0,2,5.0,3,10.666666666666666
313,1,1,0,0,0,1.0,0,0.0,2,6.0,3,11.666666666666666
314,1,1,0,0,1,0.0,0,0.0,2,7.0,3,12.666666666666666
315,1,1,0,0,1,1.0,1,0.0,2,8.0,3,13.666666666666666
316,1,1,0,0,0,1.0,1,1.0,2,9.0,3,14.666666666666666
317,1,1,0,0,1,0.0,0,1.0,2,10.0,3,15.666666666666666
318,1,1,0,0,0,1.0,0,0.0,2,11.0,3,16.666666666666668
319,1,1,0,0,0,0.0,1,0.0,2,12.0,4,17.666666666666668
320,1,1,0,0,0,0.0,0,1.0,2,13.0,4,14.25
321,1,1,0,0,1,0.0,0,0.0,2,14.0,5,15.25
322,1,1,0,0,0,1.0,1,0.0,2,15.0,5,13.2
323,1,1,0,0,1,0.0,0,1.0,2,16.0,6,14.2
324,1,1,0,0,1,1.0,1,0.0,2,17.0,6,12.833333333333334
325,1,1,0,0,1,1.0,0,1.0,2,18.0,6,13.833333333333334
326,1,1,0,0,0,1.0,1,0.0,2,19.0,6,14.833333333333334
327,1,1,0,0,0,0.0,1,1.0,2,20.0,6,15.833333333333334
328,1,1,0,0,0,0.0,1,1.0,3,21.0,6,16.833333333333332
329,1,1,0,0,0,0.0,1,1.0,3,15.0,7,17.833333333333332
330,1,1,0,0,0,0.0,1,1.0,3,16.0,8,16.285714285714285
331,0,0,1,1,0,0.0,0,1.0,3,17.0,8,15.25
332,0,0,1,1,0,0.0,0,0.0,2,18.0,8,16.25
333,0,0,1,1,1,0.0,0,0.0,2,13.5,7,12.75
334,0,0,1,1,1,1.0,1,0.0,1,3.5,6,11.0
335,0,0,1,1,1,2.0,1,1.0,0,2.0,5,9.333333333333334
336,0,0,1,1,1,3.0,1,2.0,1,0.0,4,9.0
337,0,0,1,1,1,4.0,2,3.0,0,1.0,3,8.5
338,0,0,1,1,2,5.0,3,2.5,0,0.0,2,7.666666666666667
339,0,0,1,1,2,3.5,4,2.6666666666666665,0,0.0,1,8.0
340,0,0,1,1,2,4.5,5,3.0,0,0.0,0,8.0
341,0,0,1,1,2,5.5,6,3.4,0,0.0,0,0.0
342,0,0,1,1,3,6.5,7,3.8333333333333335,0,0.0,0,0.0
343,1,1,0,0,4,5.333333333333333,8,4.285714285714286,0,0.0,1,0.0
344,1,1,0,0,4,5.0,7,4.75,0,0.0,1,1.0
345,1,1,0,0,4,3.25,7,5.0,0,0.0,1,2.0
346,1,1,0,0,4,2.5,7,4.857142857142857,0,0.0,1,3.0
347,1,1,0,0,3,2.5,7,4.714285714285714,0,0.0,1,4.0
348,1,1,0,0,3,3.0,6,4.571428571428571,0,0.0,1,5.0
349,1,1,0,0,2,2.6666666666666665,5,5.0,0,0.0,2,6.0
350,1,1,0,0,1,3.0,5,5.4,1,0.0,2,4.0
351,1,1,0,0,1,3.0,4,4.8,1,1.0,2,5.0
352,1,1,0,0,0,1.0,4,5.0,1,2.0,2,6.0
353,1,1,0,0,1,0.0,4,4.25,1,3.0,3,7.0
354,1,1,0,0,1,1.0,4,3.5,1,4.0,4,5.666666666666667
355,1,1,0,0,0,1.0,4,2.75,1,5.0,4,5.25
356,1,1,0,0,0,0.0,4,2.5,1,6.0,4,6.25
357,1,1,0,0,0,0.0,3,2.5,1,7.0,4,7.25
358,1,1,0,0,0,0.0,2,3.0,1,8.0,4,8.25
359,1,1,0,0,0,0.0,1,3.5,1,9.0,5,9.25
360,1,1,0,0,1,0.0,0,4.0,1,10.0,5,8.4
361,1,1,0,0,1,1.0,0,0.0,1,11.0,5,9.4
362,1,1,0,0,0,1.0,1,0.0,1,12.0,5,10.4
363,1,1,0,0,0,0.0,1,1.0,1,13.0,5,11.4
364,1,1,0,0,0,0.0,0,1.0,1,14.0,5,12.4
365,1,1,0,0,0,0.0,0,0.0,2,15.0,5,13.4
366,1,1,0,0,0,0.0,1,0.0,2,8.5,5,14.4
367,1,1,0,0,0,0.0,0,1.0,2,9.5,5,15.4
368,1,1,0,0,0,0.0,0,0.0,2,10.5,6,16.4
369,1,1,0,0,1,0.0,1,0.0,2,11.5,6,14.666666666666666
370,1,1,0,0,0,1.0,1,1.0,3,12.5,6,15.666666666666666
371,1,1,0,0,0,0.0,0,1.0,3,9.333333333333334,7,16.666666666666668
372,1,1,0,0,1,0.0,1,0.0,3,10.333333333333334,7,15.285714285714286
