timestep,light_state_north,light_state_south,light_state_east,light_state_west,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
8934,1,1,0,0,0,0,4,4,0.0,0.0,6.25,6.25
8935,1,1,0,0,0,0,4,4,0.0,0.0,7.25,7.25
8936,1,1,0,0,0,0,4,4,0.0,0.0,8.25,8.25
8937,1,1,0,0,0,0,4,4,0.0,0.0,9.25,9.25
8938,1,1,0,0,0,0,4,4,0.0,0.0,10.25,10.25
8939,1,1,0,0,0,0,4,4,0.0,0.0,11.25,11.25
8940,1,1,0,0,0,0,4,4,0.0,0.0,12.25,12.25
8941,0,0,1,1,0,0,5,5,0.0,0.0,10.6,10.6
8942,0,0,1,1,0,0,4,4,0.0,0.0,9.5,9.5
8943,0,0,1,1,1,1,3,3,0.0,0.0,9.0,9.0
8944,0,0,1,1,2,2,2,2,0.5,0.5,8.0,8.0
8945,0,0,1,1,2,2,1,1,1.5,1.5,4.0,4.0
8946,0,0,1,1,2,2,0,0,2.5,2.5,0.0,0.0
8947,0,0,1,1,2,2,0,0,3.5,3.5,0.0,0.0
8948,0,0,1,1,2,2,0,0,4.5,4.5,0.0,0.0
8949,0,0,1,1,3,3,0,0,3.6666666666666665,3.6666666666666665,0.0,0.0
8950,0,0,1,1,4,4,0,0,3.5,3.5,0.0,0.0
8951,0,0,1,1,4,4,0,0,4.5,4.5,0.0,0.0
8952,0,0,1,1,4,4,0,0,5.5,5.5,0.0,0.0
8953,0,0,1,1,4,4,0,0,6.5,6.5,0.0,0.0
8954,1,1,0,0,5,5,0,0,6.0,6.0,0.0,0.0
8955,1,1,0,0,4,4,0,0,5.75,5.75,0.0,0.0
8956,1,1,0,0,4,4,0,0,3.75,3.75,0.0,0.0
8957,1,1,0,0,3,3,0,0,3.6666666666666665,3.6666666666666665,0.0,0.0
8958,1,1,0,0,3,3,0,0,2.0,2.0,0.0,0.0
8959,1,1,0,0,3,3,1,1,1.3333333333333333,1.3333333333333333,0.0,0.0
8960,1,1,0,0,3,3,1,1,1.0,1.0,1.0,1.0
8961,1,1,0,0,3,3,1,1,1.0,1.0,2.0,2.0
8962,1,1,0,0,2,2,1,1,1.5,1.5,3.0,3.0
8963,1,1,0,0,2,2,1,1,1.0,1.0,4.0,4.0
8964,1,1,0,0,1,1,1,1,1.0,1.0,5.0,5.0
8965,1,1,0,0,1,1,2,2,0.0,0.0,3.0,3.0
8966,1,1,0,0,0,0,2,2,0.0,0.0,4.0,4.0
8967,1,1,0,0,0,0,3,3,0.0,0.0,3.3333333333333335,3.3333333333333335
8968,1,1,0,0,0,0,3,3,0.0,0.0,4.333333333333333,4.333333333333333
8969,1,1,0,0,0,0,3,3,0.0,0.0,5.333333333333333,5.333333333333333
8970,1,1,0,0,0,0,3,3,0.0,0.0,6.333333333333333,6.333333333333333
8971,1,1,0,0,0,0,3,3,0.0,0.0,7.333333333333333,7.333333333333333
8972,1,1,0,0,0,0,3,3,0.0,0.0,8.333333333333334,8.333333333333334
8973,1,1,0,0,0,0,4,4,0.0,0.0,7.0,7.0
8974,1,1,0,0,0,0,4,4,0.0,0.0,8.0,8.0
8975,1,1,0,0,0,0,4,4,0.0,0.0,9.0,9.0
8976,1,1,0,0,0,0,4,4,0.0,0.0,10.0,10.0
8977,1,1,0,0,0,0,4,4,0.0,0.0,11.0,11.0
8978,1,1,0,0,0,0,4,4,0.0,0.0,12.0,12.0
8979,0,0,1,1,0,0,5,5,0.0,0.0,10.4,10.4
8980,0,0,1,1,0,0,4,4,0.0,0.0,9.0,9.0
8981,0,0,1,1,0,0,3,3,0.0,0.0,8.0,8.0
8982,0,0,1,1,1,1,3,3,0.0,0.0,4.0,4.0
8983,0,0,1,1,1,1,2,2,1.0,1.0,2.5,2.5
8984,0,0,1,1,1,1,1,1,2.0,2.0,2.0,2.0
8985,0,0,1,1,1,1,0,0,3.0,3.0,0.0,0.0
8986,0,0,1,1,1,1,0,0,4.0,4.0,0.0,0.0
8987,0,0,1,1,1,1,0,0,5.0,5.0,0.0,0.0
8988,0,0,1,1,1,1,0,0,6.0,6.0,0.0,0.0
8989,0,0,1,1,1,1,0,0,7.0,7.0,0.0,0.0
8990,0,0,1,1,1,1,0,0,8.0,8.0,0.0,0.0
8991,0,0,1,1,1,1,0,0,9.0,9.0,0.0,0.0
8992,0,0,1,1,1,1,0,0,10.0,10.0,0.0,0.0
8993,0,0,1,1,2,2,0,0,5.5,5.5,0.0,0.0
8994,0,0,1,1,2,2,0,0,6.5,6.5,0.0,0.0
