total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,south_queue_size,east_queue_size,west_queue_size
279,1,1,0,0,0,1,4,3
280,1,1,0,0,1,0,4,3
281,1,1,0,0,0,0,4,3
282,1,1,0,0,0,0,4,3
283,1,1,0,0,1,0,4,3
284,1,1,0,0,1,1,4,3
285,1,1,0,0,1,1,5,3
286,1,1,0,0,0,1,5,3
287,1,1,0,0,0,1,5,3
288,1,1,0,0,1,0,5,4
289,1,1,0,0,1,0,5,4
290,1,1,0,0,0,1,5,5
291,1,1,0,0,1,0,5,5
292,1,1,0,0,0,0,5,5
293,1,1,0,0,0,0,5,5
294,1,1,0,0,0,1,5,6
295,0,0,1,1,0,0,5,6
296,0,0,1,1,0,0,4,5
297,0,0,1,1,1,1,3,4
298,0,0,1,1,2,2,2,3
299,0,0,1,1,3,3,1,2
300,0,0,1,1,4,3,0,1
301,0,0,1,1,5,4,0,1
302,0,0,1,1,6,4,1,0
303,1,1,0,0,6,5,0,0
304,1,1,0,0,6,5,0,0
305,1,1,0,0,5,4,0,0
306,1,1,0,0,4,4,0,0
307,1,1,0,0,3,4,0,0
308,1,1,0,0,3,3,0,0
309,1,1,0,0,2,3,0,0
310,1,1,0,0,1,2,0,1
311,1,1,0,0,0,1,0,1
312,1,1,0,0,1,0,0,1
313,1,1,0,0,1,0,0,1
314,1,1,0,0,1,1,0,1
315,1,1,0,0,0,1,0,1
316,1,1,0,0,1,0,0,1
317,1,1,0,0,0,1,0,1
318,1,1,0,0,1,1,0,1
319,1,1,0,0,0,1,0,1
320,1,1,0,0,1,0,0,2
321,1,1,0,0,1,1,0,2
322,1,1,0,0,1,1,1,3
323,1,1,0,0,0,1,1,3
324,1,1,0,0,1,0,1,4
325,1,1,0,0,0,0,1,4
326,1,1,0,0,0,0,1,5
327,1,1,0,0,1,0,1,5
328,1,1,0,0,1,0,1,5
329,1,1,0,0,1,1,1,5
330,1,1,0,0,1,0,1,5
331,1,1,0,0,1,1,1,6
332,1,1,0,0,1,1,2,6
333,1,1,0,0,0,1,2,6
334,1,1,0,0,1,1,2,6
335,1,1,0,0,1,1,2,6
336,1,1,0,0,1,1,2,7
337,1,1,0,0,0,0,2,7
338,1,1,0,0,0,1,2,8
339,1,1,0,0,0,1,2,8
340,0,0,1,1,0,0,2,9
341,0,0,1,1,1,1,1,9
342,0,0,1,1,2,1,0,8
343,0,0,1,1,3,1,0,7
344,0,0,1,1,4,1,0,6
345,0,0,1,1,5,2,0,5
346,0,0,1,1,6,2,0,4
347,0,0,1,1,6,2,0,3
348,0,0,1,1,6,3,0,2
349,0,0,1,1,6,4,0,1
350,0,0,1,1,6,4,0,0
351,0,0,1,1,6,4,0,1
352,1,1,0,0,7,4,0,0
353,1,1,0,0,6,4,0,1
354,1,1,0,0,6,3,0,1
355,1,1,0,0,6,2,0,1
356,1,1,0,0,6,1,0,1
357,1,1,0,0,6,0,1,1
358,1,1,0,0,6,1,1,1
359,1,1,0,0,5,0,1,1
360,1,1,0,0,4,0,1,1
361,1,1,0,0,3,1,1,2
362,1,1,0,0,3,0,1,2
363,1,1,0,0,3,0,1,2
364,1,1,0,0,3,1,2,3
365,1,1,0,0,2,1,2,3
366,1,1,0,0,1,0,3,3
367,1,1,0,0,1,0,4,3
368,1,1,0,0,1,1,4,4
369,1,1,0,0,0,0,5,4
370,1,1,0,0,0,1,5,5
371,1,1,0,0,1,0,5,5
372,1,1,0,0,1,1,5,5
373,1,1,0,0,1,1,5,5
374,1,1,0,0,1,1,5,5
375,0,0,1,1,0,0,6,5
376,0,0,1,1,1,1,5,4
377,0,0,1,1,2,2,4,3
378,0,0,1,1,3,2,3,2
379,0,0,1,1,3,2,2,2
380,0,0,1,1,3,2,1,1
381,0,0,1,1,3,3,0,0
382,0,0,1,1,4,3,0,0
383,0,0,1,1,5,4,0,0
384,0,0,1,1,6,5,0,1
385,1,1,0,0,7,6,1,1
386,1,1,0,0,7,6,1,1
387,1,1,0,0,7,6,1,1
388,1,1,0,0,7,5,1,1
389,1,1,0,0,7,4,1,1
390,1,1,0,0,7,3,1,2
391,1,1,0,0,7,3,1,2
392,1,1,0,0,6,3,1,2
393,1,1,0,0,6,2,1,2
394,1,1,0,0,5,1,1,3
395,1,1,0,0,5,0,1,3
396,1,1,0,0,5,1,1,3
397,1,1,0,0,5,1,1,3
398,1,1,0,0,5,1,1,3
399,1,1,0,0,4,0,1,3
400,1,1,0,0,4,1,1,4
401,1,1,0,0,4,1,1,4
402,1,1,0,0,4,0,1,4
403,1,1,0,0,4,1,1,4
404,1,1,0,0,4,1,1,4
405,1,1,0,0,4,0,1,4
406,1,1,0,0,4,0,1,4
407,1,1,0,0,3,1,1,4
408,1,1,0,0,3,1,1,4
409,1,1,0,0,3,1,1,4
410,1,1,0,0,2,1,1,4
411,1,1,0,0,2,1,2,4
412,1,1,0,0,2,1,2,4
413,1,1,0,0,2,1,2,5
414,1,1,0,0,2,0,2,5
415,1,1,0,0,1,0,2,5
