total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
14682,0,0,1,1,0,0.0,0,0.0,4,7.0,7,6.428571428571429
14683,0,0,1,1,0,0.0,1,0.0,4,6.75,6,5.571428571428571
14684,0,0,1,1,0,0.0,1,1.0,3,5.25,5,5.5
14685,0,0,1,1,0,0.0,1,2.0,3,4.666666666666667,4,5.6
14686,0,0,1,1,0,0.0,2,3.0,2,3.0,4,5.5
14687,0,0,1,1,0,0.0,2,2.5,2,3.0,3,4.75
14688,0,0,1,1,0,0.0,3,3.5,1,2.0,2,5.0
14689,0,0,1,1,0,0.0,4,3.3333333333333335,0,2.0,2,5.0
14690,0,0,1,1,0,0.0,4,3.5,1,0.0,1,2.5
14691,0,0,1,1,1,0.0,5,4.5,0,1.0,0,2.0
14692,0,0,1,1,2,1.0,5,4.6,1,0.0,0,0.0
14693,0,0,1,1,2,1.5,5,5.6,0,1.0,1,0.0
14694,0,0,1,1,2,2.5,5,6.6,0,0.0,1,1.0
14695,0,0,1,1,2,3.5,6,7.6,0,0.0,0,1.0
14696,0,0,1,1,2,4.5,7,7.333333333333333,0,0.0,1,0.0
14697,0,0,1,1,2,5.5,7,7.285714285714286,0,0.0,0,1.0
14698,0,0,1,1,2,6.5,7,8.285714285714286,0,0.0,0,0.0
14699,0,0,1,1,2,7.5,7,9.285714285714286,0,0.0,0,0.0
14700,0,0,1,1,2,8.5,8,10.285714285714286,0,0.0,0,0.0
14701,0,0,1,1,2,9.5,8,10.0,0,0.0,0,0.0
14702,1,1,0,0,3,10.5,8,11.0,0,0.0,0,0.0
14703,1,1,0,0,2,8.0,7,12.0,1,0.0,0,0.0
14704,1,1,0,0,1,7.0,6,11.857142857142858,1,1.0,0,0.0
14705,1,1,0,0,0,3.0,6,11.833333333333334,1,2.0,0,0.0
14706,1,1,0,0,0,0.0,5,10.0,1,3.0,0,0.0
14707,1,1,0,0,1,0.0,4,9.6,1,4.0,0,0.0
14708,1,1,0,0,0,1.0,4,9.0,1,5.0,0,0.0
14709,1,1,0,0,0,0.0,3,6.75,1,6.0,0,0.0
14710,1,1,0,0,0,0.0,2,5.666666666666667,2,7.0,0,0.0
14711,1,1,0,0,0,0.0,2,4.5,2,4.5,0,0.0
14712,1,1,0,0,0,0.0,1,2.5,3,5.5,1,0.0
14713,1,1,0,0,0,0.0,0,2.0,3,4.666666666666667,1,1.0
14714,1,1,0,0,0,0.0,1,0.0,4,5.666666666666667,1,2.0
14715,1,1,0,0,1,0.0,1,1.0,5,5.25,1,3.0
14716,1,1,0,0,1,1.0,0,1.0,5,5.2,1,4.0
14717,1,1,0,0,0,1.0,1,0.0,5,6.2,1,5.0
14718,1,1,0,0,1,0.0,0,1.0,5,7.2,1,6.0
14719,1,1,0,0,0,1.0,0,0.0,5,8.2,1,7.0
14720,1,1,0,0,0,0.0,0,0.0,5,9.2,2,8.0
14721,1,1,0,0,0,0.0,0,0.0,6,10.2,2,5.0
14722,1,1,0,0,0,0.0,0,0.0,6,9.5,2,6.0
14723,1,1,0,0,1,0.0,0,0.0,6,10.5,2,7.0
14724,1,1,0,0,0,1.0,0,0.0,7,11.5,3,8.0
14725,1,1,0,0,1,0.0,0,0.0,7,10.857142857142858,3,6.333333333333333
14726,1,1,0,0,1,1.0,0,0.0,8,11.857142857142858,3,7.333333333333333
14727,0,0,1,1,0,1.0,0,0.0,8,11.375,4,8.333333333333334
14728,0,0,1,1,1,0.0,0,0.0,7,12.375,3,7.25
14729,0,0,1,1,2,1.0,1,0.0,6,11.571428571428571,2,5.333333333333333
14730,0,0,1,1,2,1.5,2,1.0,5,11.333333333333334,1,4.5
14731,0,0,1,1,2,2.5,2,1.5,4,11.0,0,4.0
14732,0,0,1,1,2,3.5,2,2.5,4,10.5,0,0.0
14733,0,0,1,1,2,4.5,2,3.5,3,7.25,0,0.0
14734,0,0,1,1,3,5.5,2,4.5,3,6.666666666666667,0,0.0
14735,0,0,1,1,3,4.666666666666667,2,5.5,3,4.333333333333333,0,0.0
14736,0,0,1,1,3,5.666666666666667,2,6.5,3,2.3333333333333335,0,0.0
14737,0,0,1,1,4,6.666666666666667,2,7.5,2,2.0,0,0.0
14738,0,0,1,1,4,6.0,2,8.5,1,2.5,1,0.0
14739,0,0,1,1,5,7.0,2,9.5,0,3.0,0,1.0
14740,0,0,1,1,6,6.6,3,10.5,0,0.0,0,0.0
14741,0,0,1,1,6,6.5,3,8.0,0,0.0,1,0.0
14742,0,0,1,1,7,7.5,3,9.0,1,0.0,0,1.0
14743,1,1,0,0,8,7.428571428571429,3,10.0,0,1.0,0,0.0
